"zone","year","yrwgtsum","nonNAarea","yrwgtmean","plot_with"
1,2005,240557.3107,1372524.852,0.17526627,"chlorophyllA"
1,2006,278124.2666,1407432.309,0.197611114,"chlorophyllA"
1,2007,253604.9817,1396421.786,0.181610588,"chlorophyllA"
1,2008,223108.1643,1378492.835,0.161849346,"chlorophyllA"
1,2009,232354.8321,1386421.241,0.167593243,"chlorophyllA"
1,2010,296383.057,1385474.44,0.213921707,"chlorophyllA"
1,2011,344365.4451,1407289.894,0.244701143,"chlorophyllA"
1,2012,280208.8634,1407713.546,0.199052474,"chlorophyllA"
1,2013,255724.4331,1370533.525,0.186587507,"chlorophyllA"
1,2014,290677.1309,1370771.657,0.212053648,"chlorophyllA"
1,2015,365470.3334,1405517.308,0.260025495,"chlorophyllA"
1,2016,272820.5738,1410541.612,0.193415474,"chlorophyllA"
1,2017,321336.3991,1414274.259,0.227209395,"chlorophyllA"
1,2018,324068.9544,1413459.782,0.229273559,"chlorophyllA"
1,2019,271808.7608,1414120.616,0.192210451,"chlorophyllA"
1,2020,340343.7445,1406913.543,0.241908073,"chlorophyllA"
1,2021,353662.522,1410221.921,0.250785012,"chlorophyllA"
1,2022,325412.6122,1414079.54,0.230123273,"chlorophyllA"
1,2023,258311.2695,1414463.316,0.182621399,"chlorophyllA"
1,2024,269875.075,1414463.316,0.1907968,"chlorophyllA"
4,1998,489023.2167,1025990.699,0.476635136,"chlorophyllA"
4,1999,539818.1109,1028401.514,0.524909876,"chlorophyllA"
4,2000,545597.8875,1002430.738,0.544274898,"chlorophyllA"
4,2001,521795.2912,1027654.882,0.50775343,"chlorophyllA"
4,2002,632092.6433,1028713.56,0.614449608,"chlorophyllA"
4,2003,756525.859,1029896.89,0.73456466,"chlorophyllA"
4,2004,519862.5425,1030096.287,0.504673737,"chlorophyllA"
4,2005,557582.2402,1030446.388,0.541107472,"chlorophyllA"
4,2006,504834.0092,1030810.885,0.489744546,"chlorophyllA"
4,2007,557297.4029,1030273.54,0.540921786,"chlorophyllA"
4,2008,669331.7307,1030446.564,0.649555012,"chlorophyllA"
4,2009,615010.577,1030559.961,0.596773211,"chlorophyllA"
4,2010,723055.6526,1030471.29,0.701674719,"chlorophyllA"
