"zone","year","yrwgtsum","nonNAarea","yrwgtmean","yrsd","plot_with"
0,2008,36683736.7322262,1081648.0241944,33.9146708649034,0.0365436072575301,"surfaceSalinity_Winter"
0,2009,36694187.2087987,1081648.0241944,33.9243324889611,0.0397214990731709,"surfaceSalinity_Winter"
0,2010,36662591.0921083,1081648.0241944,33.8951213999714,0.0303171072545955,"surfaceSalinity_Winter"
0,2011,36679216.9402302,1081648.0241944,33.910492248667,0.029004316469936,"surfaceSalinity_Winter"
0,2012,36690573.6269514,1081648.0241944,33.9209916777486,0.0301634440480296,"surfaceSalinity_Winter"
0,2013,36679543.0991764,1081648.0241944,33.9107937875585,0.0480059018108208,"surfaceSalinity_Winter"
0,2014,36692710.3726563,1081648.0241944,33.9229671315534,0.0362699122377242,"surfaceSalinity_Winter"
0,2015,36730655.3420758,1081648.0241944,33.9580478311625,0.0444699273408855,"surfaceSalinity_Winter"
0,2016,36667684.0122966,1081648.0241944,33.8998298819122,0.106337773330431,"surfaceSalinity_Winter"
0,2017,36683761.8290804,1081648.0241944,33.9146940673257,0.0486040978922716,"surfaceSalinity_Winter"
0,2018,36688430.9613024,1081648.0241944,33.9190107508656,0.0382255529293394,"surfaceSalinity_Winter"
0,2019,36722995.0678133,1081648.0241944,33.9509657914498,0.0430531416972802,"surfaceSalinity_Winter"
0,2020,36706462.5701026,1081648.0241944,33.9356812466248,0.0368370765650075,"surfaceSalinity_Winter"
0,2021,36732557.6227891,1081648.0241944,33.9598065185272,0.0381284086994915,"surfaceSalinity_Winter"
0,2022,36674535.9114357,1081648.0241944,33.9061645665655,0.0387300001359613,"surfaceSalinity_Winter"
0,2023,36675500.1153771,1081648.0241944,33.90705598773,0.0404957288390108,"surfaceSalinity_Winter"
0,2024,36750216.2966357,1081648.0241944,33.9761322302668,0.130235747327987,"surfaceSalinity_Winter"
1,1998,47952739.8183392,1414462.80086963,33.9017327206182,0.039101414100443,"surfaceSalinity_Winter"
1,1999,47950772.134269,1414462.80086963,33.900341603037,0.0382865985567878,"surfaceSalinity_Winter"
1,2000,47952486.8804161,1414462.80086963,33.9015538980129,0.0390702556236637,"surfaceSalinity_Winter"
1,2001,47952724.256511,1414462.80086963,33.9017217186829,0.0390710893492085,"surfaceSalinity_Winter"
1,2002,47951530.0849494,1414462.80086963,33.9008774606643,0.038929821900465,"surfaceSalinity_Winter"
1,2003,47952194.39877,1414462.80086963,33.9013471187,0.038995212622079,"surfaceSalinity_Winter"
1,2004,47951424.8363801,1414462.80086963,33.9008030518009,0.03776446794605,"surfaceSalinity_Winter"
1,2005,47941644.1261121,1414462.80086963,33.8938882638956,0.0340079705847262,"surfaceSalinity_Winter"
1,2006,47951955.365748,1414462.80086963,33.9011781266121,0.0397067528952334,"surfaceSalinity_Winter"
